base_id,query_id,position_name,original_gold_position,tis_gold_rank,recall_at_1,baseline_correct,tis_correct,transition,baseline_prediction,tis_prediction,answer
47,151676,middle,2,1,0,0,0,same_wrong,Diphtheria Definition Pronunciation: dih-thee-ther-ee-uh,Diphtheria definition pronunciation: dih-fther-ee-uh,An acute febrile contagious disease typically marked by the formation of a false membrane especially in the throat and caused by a gram-positive bacterium.
47,151676,end,4,1,0,0,0,same_wrong,Diphtheria definition pronunciation: dih-thee-ther-ee-uh,Diphtheria definition pronunciation: dih-fther-ee-uh,An acute febrile contagious disease typically marked by the formation of a false membrane especially in the throat and caused by a gram-positive bacterium.
48,657386,early,0,2,0,1,1,same_correct,Troy-Bilt Engine,Troy-Bilt Engine,"26 inches Two-Stage Snow Thrower 208cc Troy-Bilt Engine, 30 inches Two-Stage Snow Thrower 277cc Troy-Bilt Engine, and 26 inches Two-Stage Snow Thrower 243cc Troy-Bilt Engine are on Two-Stage Snow Thrower."
48,657386,middle,2,2,0,0,1,wrong_to_right,Troy-Bilt Engine (various models),Troy-Bilt Engine,"26 inches Two-Stage Snow Thrower 208cc Troy-Bilt Engine, 30 inches Two-Stage Snow Thrower 277cc Troy-Bilt Engine, and 26 inches Two-Stage Snow Thrower 243cc Troy-Bilt Engine are on Two-Stage Snow Thrower."
48,657386,end,4,2,0,0,1,wrong_to_right,208cc (Passage 5),Troy-Bilt Engine,"26 inches Two-Stage Snow Thrower 208cc Troy-Bilt Engine, 30 inches Two-Stage Snow Thrower 277cc Troy-Bilt Engine, and 26 inches Two-Stage Snow Thrower 243cc Troy-Bilt Engine are on Two-Stage Snow Thrower."
49,645589,early,0,4,0,0,0,same_wrong,"Earth's surface, landforms, climate, oceans, etc.",Earth's surface features,"Physical geography is that branch of natural science which deals with the study of processes and patterns in the natural environment like the atmosphere, hydrosphere, biosphere, and geosphere, as opposed to the cultural or built environment, the domain of human geography."
49,645589,middle,2,4,0,0,0,same_wrong,"Earth's surface features, landforms, climate, oceans, etc.",Earth's surface features,"Physical geography is that branch of natural science which deals with the study of processes and patterns in the natural environment like the atmosphere, hydrosphere, biosphere, and geosphere, as opposed to the cultural or built environment, the domain of human geography."
49,645589,end,4,4,0,0,0,same_wrong,"Earth's surface features, landforms, climate, oceans, etc.",Earth's surface features,"Physical geography is that branch of natural science which deals with the study of processes and patterns in the natural environment like the atmosphere, hydrosphere, biosphere, and geosphere, as opposed to the cultural or built environment, the domain of human geography."
50,724374,early,0,1,0,0,0,same_wrong,Cebuano (also known as Bisaya),"Cebuano, Bisaya",It is one of the most widely spoken language in the Philippines especially in Visayas.
50,724374,middle,2,1,0,0,0,same_wrong,"Cebuano, Bisaya","Cebuano, Bisaya",It is one of the most widely spoken language in the Philippines especially in Visayas.
50,724374,end,4,1,0,1,0,right_to_wrong,Cebuano,"Cebuano, Bisaya",It is one of the most widely spoken language in the Philippines especially in Visayas.
51,471864,early,0,2,0,0,0,same_wrong,Collectively responsible to the legislature,Collectively responsible cabinet to legislature,It is system of government means that the executive branch of government has the direct or indirect support of the parliament.
51,471864,middle,2,2,0,0,0,same_wrong,Democratic form of government where the political party winning most seats in legislature forms the government.,Collectively responsible cabinet to legislature,It is system of government means that the executive branch of government has the direct or indirect support of the parliament.
51,471864,end,4,2,0,0,0,same_wrong,"Collectively responsible to legislature, democratic form of government, executive branch derives democratic legitimacy from legislature, political party that wins most seats",Collectively responsible cabinet to legislature,It is system of government means that the executive branch of government has the direct or indirect support of the parliament.
52,524802,early,0,1,0,1,1,same_correct,"Yes, includes cruise","Yes, includes cruise",Yes
52,524802,middle,2,1,0,1,1,same_correct,"Yes, some tours include the River Thames cruise.","Yes, includes cruise",Yes
52,524802,end,4,1,0,1,1,same_correct,"Yes, includes cruise","Yes, includes cruise",Yes
53,520776,early,0,2,0,0,0,same_wrong,"Permanent change: 1946, 12 hours ahead of GMT
Temporary change: 1941,",Daylight Time (NZDT) & Chatham Daylight Time (CHADT),"The time change in New Zealand was made in 1941 during the second World War, in which the clocks were advanced by half an hour, making New Zealand 12 hours ahead of Greenwich Mean Time."
53,520776,middle,2,2,0,0,0,same_wrong,"Permanent change: 12 hours ahead of GMT
Summer time: NZDT (13 hours ahead of UTC), CH",Daylight Time (NZDT) & Chatham Daylight Time (CHADT),"The time change in New Zealand was made in 1941 during the second World War, in which the clocks were advanced by half an hour, making New Zealand 12 hours ahead of Greenwich Mean Time."
53,520776,end,4,2,0,0,0,same_wrong,"12 hours ahead of UTC (NZST), 12 hours 45 minutes ahead of UTC (CHAST)",Daylight Time (NZDT) & Chatham Daylight Time (CHADT),"The time change in New Zealand was made in 1941 during the second World War, in which the clocks were advanced by half an hour, making New Zealand 12 hours ahead of Greenwich Mean Time."
54,637862,early,0,2,0,0,0,same_wrong,"1. Wheat, grapes (wine), sugar beets, milk, beef/veal, cereals, oilseeds.","Wine, wheat, sugar beets, milk, beef and veal, cereals, oilseeds.",One-third of France’s land is crop growing. Wheat is the major single crop grown at large farms in the Paris Basin and in the north.France is one of the largest wine producers in the world.
54,637862,middle,2,2,0,0,0,same_wrong,"Wine, grapes, wheat, milk, beef, veal, cereals, oilseeds.","Wine, wheat, sugar beets, milk, beef and veal, cereals, oilseeds.",One-third of France’s land is crop growing. Wheat is the major single crop grown at large farms in the Paris Basin and in the north.France is one of the largest wine producers in the world.
54,637862,end,4,2,0,0,0,same_wrong,"Wine, wheat, grapes, meat, dairy, sugar beets, oilseeds, cereals, and milk.","Wine, wheat, sugar beets, milk, beef and veal, cereals, oilseeds.",One-third of France’s land is crop growing. Wheat is the major single crop grown at large farms in the Paris Basin and in the north.France is one of the largest wine producers in the world.
55,1174742,early,0,4,0,0,0,same_wrong,Strips of cloth for protecting or supporting a wounded body part,bandage: a long strip of cloth tied around a wounded part of someone's body to protect or support it.,A bandage is a long strip of cloth that is tied around a wounded part of someone's body in order to protect or support it.
55,1174742,middle,2,4,0,0,0,same_wrong,bandage: a long strip of cloth tied around a wounded part of someone's body to protect or support it.,bandage: a long strip of cloth tied around a wounded part of someone's body to protect or support it.,A bandage is a long strip of cloth that is tied around a wounded part of someone's body in order to protect or support it.
55,1174742,end,4,4,0,0,0,same_wrong,Strip of cloth for protecting or supporting a wounded part of body,bandage: a long strip of cloth tied around a wounded part of someone's body to protect or support it.,A bandage is a long strip of cloth that is tied around a wounded part of someone's body in order to protect or support it.
56,532076,early,0,2,0,0,0,same_wrong,Underwriting expenses: Costs and expenditures associated with underwriting activity.,Underwriting expenses: Costs and expenditures associated with underwriting activity.,It is the costs that an insurance company must pay to remain in operation.
56,532076,middle,2,2,0,0,0,same_wrong,Costs associated with underwriting activity,Underwriting expenses: Costs and expenditures associated with underwriting activity.,It is the costs that an insurance company must pay to remain in operation.
56,532076,end,4,2,0,0,0,same_wrong,Costs and expenditures associated with underwriting activity.,Underwriting expenses: Costs and expenditures associated with underwriting activity.,It is the costs that an insurance company must pay to remain in operation.
57,547021,early,0,4,0,0,0,same_wrong,Property taking without consent,Permanent taking of personal property without permission,Theft is the illegal taking of another person's property or services without that person's permission or consent with the intent to deprive the rightful owner of it.
57,547021,middle,2,4,0,0,0,same_wrong,Unlawful taking of property,Permanent taking of personal property without permission,Theft is the illegal taking of another person's property or services without that person's permission or consent with the intent to deprive the rightful owner of it.
57,547021,end,4,4,0,0,0,same_wrong,Permanently deprive of property,Permanent taking of personal property without permission,Theft is the illegal taking of another person's property or services without that person's permission or consent with the intent to deprive the rightful owner of it.
58,612660,early,0,2,0,1,1,same_correct,Fairfield,Fairfield,"Shelton is in Fairfield County, Connecticut, United States."
58,612660,middle,2,2,0,1,1,same_correct,Fairfield,Fairfield,"Shelton is in Fairfield County, Connecticut, United States."
58,612660,end,4,2,0,1,1,same_correct,Fairfield,Fairfield,"Shelton is in Fairfield County, Connecticut, United States."
59,1185854,early,0,0,1,0,1,wrong_to_right,"Secure borders, set up satellite countries",To set up satellite countries,The reasons why Stalin wanted to control Eastern Europe are Russia has historically no secure border and they wanted to set up satellite countries.
59,1185854,middle,2,0,1,0,1,wrong_to_right,"1. Secure borders
2. Set up satellite countries",To set up satellite countries,The reasons why Stalin wanted to control Eastern Europe are Russia has historically no secure border and they wanted to set up satellite countries.
59,1185854,end,4,0,1,0,1,wrong_to_right,"1, 2. (Russia has historically no secure border, They wanted to set up satellite countries)",To set up satellite countries,The reasons why Stalin wanted to control Eastern Europe are Russia has historically no secure border and they wanted to set up satellite countries.
